Record ID,Offender Number,Prison Start Date,Prison Admission Type,Intake Supervising Institution,Supervision Status,Sex,Race & Ethnicity,Education Category,Education,Age,Offense Code,Offense Classification,Offense Description,Offense Type,Offense Subtype,Months Served,Report Date
566,20564657,11/19/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,High School Diploma,45,714.2(2),D Felony,THEFT 2ND DEGREE,Property,Theft,1,12/13/2021
567,20984276,12/27/2019,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,High School Diploma,31,124.401(1)(b)(3),B Felony,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Cocaine GT 40gm but LT 200gm",Drug,Trafficking,24,12/13/2021
568,19731626,10/25/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,No HS Diploma,Eleventh,41,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary,2,12/13/2021
569,19860248,09/29/2020,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Ninth,41,708.3B,D Felony,INMATE ASSAULT ON EMPLOYEE OF CORRECTIONAL FACILITY,Violent,Assault,14,12/13/2021
570,18776066,07/07/2017,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,35,713.5,C Felony,BURGLARY 2ND DEGREE,Property,Burglary,53,12/13/2021
571,1213112,11/30/2020,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,High School Diploma,62,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,12,12/13/2021
572,19338023,11/01/2018,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,27,124.401(1)(b)(5),B Felony,"Proh Acts-Mfg, Del, Consp or Poss w/Int-LSD LT 10gm",Drug,Trafficking,37,12/13/2021
573,613037,04/08/1993,New Admit New Sentence,Anamosa State Penitentiary,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,66,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,343,12/13/2021
574,20729930,07/30/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,27,708.2A(3B),Aggravated Misdemeanor,DOMESTIC ABUSE ASSAULT - 2ND OFFENSE,Violent,Assault,4,12/13/2021
575,19366526,06/11/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,30,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,18,12/13/2021
576,19905425,10/08/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,41,321.279(3)(a),D Felony,"ELUDING-Speed in Excess of 25 mph Over Limit, Plus Participating in a Felony",Public Order,Traffic,2,12/13/2021
577,20447600,09/11/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Tenth,20,708.6(1),C Felony,INTIMIDATION WITH A DANGEROUS WEAPON,Violent,Assault,15,12/13/2021
578,20139284,12/01/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,34,708.2A(5),D Felony,Domestic Abuse Assault Impeding Air/Blood Flow Causing Bodily Injury,Violent,Assault,12,12/13/2021
579,3089315,09/30/2010,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,49,709.3,B Felony,Sex Abuse -2nd Degree(85%)-Life Special Sentence,Violent,Sex,134,12/13/2021
580,19301240,08/29/2018,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,31,707.4,C Felony,VOLUNTARY MANSLAUGHTER,Violent,Murder/Manslaughter,39,12/13/2021
581,20577650,12/13/2019,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Ninth,21,714.2(1),C Felony,THEFT 1ST DEGREE,Property,Theft,24,12/13/2021
582,18157067,08/09/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,44,124.401(1)(d)(2),D Felony,"Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,4,12/13/2021
583,18048452,08/05/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Hispanic,No HS Diploma,Tenth,32,714.2(1),C Felony,THEFT 1ST DEGREE,Property,Theft,4,12/13/2021
584,20280905,12/23/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Hispanic,HS Diploma or Equivelent,High School Diploma,23,710.10(1),D Felony,ENTICING AWAY A CHILD,Violent,Kidnap,12,12/13/2021
585,18050180,01/31/2014,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,Post-Secondary,Vocational Program/Technical Certificate,40,124.406(1A,B Felony,"Dist/Poss w/Int to Dist Sched I, II to Persons Under 18 - Mandatory Min 5 yrs",Drug,Trafficking,94,12/13/2021
586,2375858,06/02/2015,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Eighth,63,711.2,B Felony,ROBBERY - 1ST DEGREE - 85%,Violent,Robbery,78,12/13/2021
587,2414207,05/24/1988,New Admit New Sentence,Iowa State Penitentiary,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,65,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,402,12/13/2021
588,206447,08/20/1991,New Admit New Sentence,Newton Correctional Facility,Prison,Male,Black,No HS Diploma,Tenth,60,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,363,12/13/2021
589,20661728,01/10/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,HiSET/GED,33,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary,23,12/13/2021
590,20932163,12/19/2018,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,Post-Secondary,Vocational Program/Technical Certificate,40,124.401(1E),Felony - Enhancement to Original Penalty,Proh Acts-Firearm Poss/Control-2X Penalty Enh,Drug,Trafficking,36,12/13/2021
591,3398033,09/05/2013,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,43,"709.4(2C,4)",C Felony,Sexual Abuse 3rd Degree/Life Special Sentence,Violent,Sex,99,12/13/2021
592,3478793,06/17/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,45,708.6(2),D Felony,INTIMIDATION WITH A DANGEROUS WEAPON,Violent,Assault,18,12/13/2021
593,19396577,02/25/2008,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,High School Diploma,34,711.2,B Felony,"ROBBERY 1ST DEGREE, 85%",Violent,Robbery,165,12/13/2021
594,20985293,06/26/2013,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,Post-Secondary,Vocational Program/Technical Certificate,39,709.3,B Felony,Sex Abuse -2nd Degree(85%)-Life Special Sentence,Violent,Sex,101,12/13/2021
595,18533372,04/15/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,No HS Diploma,Tenth,22,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary,8,12/13/2021
596,20684174,03/19/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,No HS Diploma,Eleventh,24,715A.2(2)(a),D Felony,FORGERY,Property,Forgery/Fraud,9,12/13/2021
597,18779876,10/11/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,No HS Diploma,Eleventh,25,713.5,C Felony,BURGLARY 2ND DEGREE,Property,Burglary,2,12/13/2021
598,20540507,04/29/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,46,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,7,12/13/2021
599,19555316,06/15/2021,New Admit New Sentence,Iowa Correctional Institution for Women,Prison,Female,Hispanic,No HS Diploma,Eleventh,32,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary,6,12/13/2021
600,18040040,06/03/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,32,"124.401(5),B",Aggravated Misdemeanor,Possession of a Controlled Substance - 2nd Offense,Drug,Drug Possession,18,12/13/2021
601,18314711,06/14/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,HiSET/GED,25,714.2(1),C Felony,THEFT 1ST DEGREE,Property,Theft,6,12/13/2021
602,20961422,11/14/2019,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,29,124.401(1)(c)(8),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Other Subst Sched I, II, III",Drug,Trafficking,25,12/13/2021
603,19988048,09/03/2020,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,Post-Secondary,Vocational Program/Technical Certificate,30,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,15,12/13/2021
604,3201980,07/11/2018,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,46,708.2A(4),D Felony,"Domestic Abuse Assault-3rd or Subsequent Offense, 85%",Violent,Assault,41,12/13/2021
605,19771079,04/25/2002,New Admit New Sentence,Iowa State Penitentiary,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,39,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,235,12/13/2021
606,19651079,07/14/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,High School Diploma,22,707.5(1),D Felony,INVOL MANSL/PUBLIC OFFENSE,Violent,Murder/Manslaughter,5,12/13/2021
607,3310484,08/10/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,68,321J.2(2)(c),D Felony,Operating While Intoxicated - 3rd or Subsequent Offense,Public Order,OWI,4,12/13/2021
608,18729134,04/29/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,25,708.7(2),Aggravated Misdemeanor,HARASSMENT / 1ST DEG.,Violent,Assault,7,12/13/2021
609,20319683,03/16/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,HiSET/GED,23,711.3,C Felony,"ROBBERY 2ND DEGREE, 85%",Violent,Robbery,9,12/13/2021
610,20760617,03/17/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,No HS Diploma,Ninth,21,724.26,D Felony,"REC. TRANSP, POS. FIREARM FELON",Public Order,Weapons,21,12/13/2021
611,19219418,01/24/2020,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,HiSET/GED,32,713.3,B Felony,BURGLARY 1ST DEGREE,Violent,Other Violent,23,12/13/2021
612,18337445,03/29/2018,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Eleventh,23,714.2(1),C Felony,THEFT 1ST DEGREE,Property,Theft,44,12/13/2021
613,20904425,11/17/2014,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,HiSET/GED,27,711.3,C Felony,"ROBBERY 2ND DEGREE, 85%",Violent,Robbery,85,12/13/2021
614,20442572,05/29/2020,New Admit New Sentence,Iowa Correctional Institution for Women,Prison,Female,White,HS Diploma or Equivelent,High School Diploma,42,124.401(1)(b)(7),B Felony,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,18,12/13/2021
615,18985364,10/14/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,34,708.3A(3),Aggravated Misdemeanor,ASSAULT CAUSING INJURY--PEACE OFFICERS/OTHERS,Violent,Assault,2,12/13/2021
616,19785620,06/14/2017,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,36,709.4(1)(a),C Felony,"Sex Abuse 3rd-By Force, 1st Off-Life Special Sentence",Violent,Sex,54,12/13/2021
617,18798614,05/23/2016,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,32,709.8(2),C Felony,Lascivious Acts With Child-Life Special Sentence,Violent,Sex,67,12/13/2021
618,19486847,05/04/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,39,321J.2(2)(c),D Felony,Operating While Intoxicated - 3rd or Subsequent Offense,Public Order,OWI,7,12/13/2021
619,20323457,11/22/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,58,692A.111-B,D Felony,Sex Offender - Registration Violation - 2nd or subsequent offense,Public Order,Other Public Order,1,12/13/2021
620,18128108,11/01/2019,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Eighth,23,714.2(1),C Felony,THEFT 1ST DEGREE,Property,Theft,25,12/13/2021
621,19927685,12/14/2007,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,41,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,168,12/13/2021
622,19792805,02/06/2015,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,No HS Diploma,Eleventh,48,709.3,B Felony,Sex Abuse -2nd Degree(85%)-Life Special Sentence,Violent,Sex,82,12/13/2021
623,20828741,09/26/2016,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,24,708.4(1),C Felony,WILLFUL INJURY - CAUSING SERIOUS INJURY,Violent,Assault,62,12/13/2021
624,20312627,09/08/2021,New Admit New Sentence,Iowa Correctional Institution for Women,Prison,Female,Hispanic,HS Diploma or Equivelent,High School Diploma,23,124.401(1)(d),D Felony,"Proh. Acts. - Mfg., Del., Consp., or Poss.",Drug,Trafficking,3,12/13/2021
625,2400140,11/12/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,60,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,13,12/13/2021
626,19610948,06/01/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Asian or Pacific Islander,HS Diploma or Equivelent,HiSET/GED,39,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary,18,12/13/2021
627,18464027,07/01/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Ninth,30,"708.3,B",D Felony,ASSLT WHILE PARTIC. IN FELONY,Violent,Assault,5,12/13/2021
628,18105986,04/20/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,29,321.279(3),D Felony,ELUDING,Public Order,Traffic,8,12/13/2021
629,19810769,04/28/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,No HS Diploma,Tenth,25,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary,8,12/13/2021
630,20818886,06/06/2011,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,HiSET/GED,32,711.2,B Felony,"ROBBERY 1ST DEGREE, 85%",Violent,Robbery,126,12/13/2021
631,3275102,12/05/2014,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,44,708.4(1),C Felony,WILLFUL INJURY - CAUSING SERIOUS INJURY,Violent,Assault,84,12/13/2021
632,219410,03/12/2018,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,,,71,708.4(1),C Felony,WILLFUL INJURY - CAUSING SERIOUS INJURY,Violent,Assault,45,12/13/2021
633,623528,12/05/2019,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,60,321J.2(2)(c),D Felony,Operating While Intoxicated - 3rd or Subsequent Offense,Public Order,OWI,24,12/13/2021
634,20034833,07/19/2016,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,31,707.11,B Felony,"ATTEMPTED MURDER, 85%",Violent,Murder/Manslaughter,65,12/13/2021
635,3298622,08/16/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,43,715A.6(2)(B),D Felony,"UNAUTH. USE OF CREDIT CARD, GREATER THAN $1K, LESS THAN $10K",Property,Forgery/Fraud,4,12/13/2021
636,18865328,07/29/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,28,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,4,12/13/2021
637,19996874,12/21/2018,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Hispanic,No HS Diploma,Sixth,32,709.4(1)(a),C Felony,"Sex Abuse 3rd-By Force, 1st Off-Life Special Sentence",Violent,Sex,36,12/13/2021
638,20416313,04/12/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,American Indian or Alaska Native,HS Diploma or Equivelent,High School Diploma,39,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,8,12/13/2021
639,314645,06/10/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,57,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,6,12/13/2021
640,187799,09/29/2015,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,52,709.3,B Felony,Sex Abuse -2nd Degree(85%)-Life Special Sentence,Violent,Sex,74,12/13/2021
641,20592941,09/20/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Hispanic,HS Diploma or Equivelent,High School Diploma,34,709.4(1)(a),C Felony,"Sex Abuse 3rd-By Force, 1st Off-Life Special Sentence",Violent,Sex,3,12/13/2021
642,18021470,09/04/2019,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,38,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,27,12/13/2021
643,19239698,02/18/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,No HS Diploma,Eleventh,28,726.6(6),D Felony,Child Endangerment-Bodily Injury,Violent,Assault,10,12/13/2021
644,3286550,04/15/2002,New Admit New Sentence,Iowa State Penitentiary,Prison,Male,Black,Post-Secondary,Technical Training Completion,50,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,235,12/13/2021
645,19634717,12/30/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,23,124.401(1)(c)(2)(b),C Felony,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Cocaine LT 500gm",Drug,Trafficking,11,12/13/2021
646,18785177,11/24/2010,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,High School Diploma,35,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,132,12/13/2021
647,18579590,05/13/2020,New Admit New Sentence,Iowa Correctional Institution for Women,Prison,Female,Hispanic,HS Diploma or Equivelent,HiSET/GED,36,124.401(1)(b)(7),B Felony,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,19,12/13/2021
648,18723356,05/19/2015,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,46,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,79,12/13/2021
649,18785918,07/23/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,35,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary,17,12/13/2021
650,20161847,11/03/2021,Return No New Sentence,Iowa Correctional Institution for Women,Prison,Female,Asian or Pacific Islander,HS Diploma or Equivelent,High School Diploma,51,124.401(1)(c)(8),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Other Subst Sched I, II, III",Drug,Trafficking,1,12/13/2021
651,2407571,11/18/2019,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Eleventh,56,124.411,Felony - Enhancement to Original Penalty,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,25,12/13/2021
652,3179552,09/06/2018,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,47,124.411,Felony - Enhancement to Original Penalty,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,39,12/13/2021
653,19461797,10/11/2017,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,HiSET/GED,29,707.11,B Felony,"ATTEMPTED MURDER, 85%",Violent,Murder/Manslaughter,50,12/13/2021
654,19094339,09/25/2020,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,26,713.5,C Felony,BURGLARY 2ND DEGREE,Property,Burglary,15,12/13/2021
655,18232595,05/11/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,No HS Diploma,Eleventh,24,908.5(2)A,Aggravated Misdemeanor,SPECIAL SENTENCE REVOCATION - 1ST OFFENSE,Other,Other Criminal,7,12/13/2021
656,19026722,03/05/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Asian or Pacific Islander,HS Diploma or Equivelent,HiSET/GED,36,713.3,B Felony,BURGLARY 1ST DEGREE,Violent,Other Violent,9,12/13/2021
657,19394108,02/13/2018,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,Post-Secondary,Associate's Degree,55,709.3,B Felony,Sex Abuse -2nd Degree(85%)-Life Special Sentence,Violent,Sex,46,12/13/2021
658,18479033,12/17/2013,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Eleventh,44,709.4(1),C Felony,"Sex Abuse-3rd, Spouse or Cohabitant-Life Special Sentence",Violent,Sex,96,12/13/2021
659,20794421,07/17/2020,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,27,714.2(1),C Felony,THEFT 1ST DEGREE,Property,Theft,17,12/13/2021
660,20326430,08/30/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,Post-Secondary,Vocational Program/Technical Certificate,42,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,3,12/13/2021
661,20174174,11/16/2016,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,41,709.4(1)(b)(3)(d),C Felony,"Sex Abuse 3rd/Victim 14/15, Def 4+-Life Special Sentence",Violent,Sex,61,12/13/2021
662,608594,05/02/1979,New Admit New Sentence,Iowa State Penitentiary,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,70,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,510,12/13/2021
663,18881876,11/13/2014,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,High School Diploma,57,709.3,B Felony,Sex Abuse -2nd Degree(85%)-Life Special Sentence,Violent,Sex,85,12/13/2021
664,3244760,07/07/2014,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,71,709.3,B Felony,"SEXUAL ABUSE, 2ND DEGREE, 85%",Violent,Sex,89,12/13/2021
665,19969469,11/19/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Eleventh,33,708.2A(3B),Aggravated Misdemeanor,DOMESTIC ABUSE ASSAULT - 2ND OFFENSE,Violent,Assault,1,12/13/2021
666,18657518,12/11/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,37,714.2(2),D Felony,THEFT 2ND DEGREE,Property,Theft,12,12/13/2021
667,312902,08/08/1980,New Admit New Sentence,Iowa State Penitentiary,Prison,Male,White,No HS Diploma,Eighth,61,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,495,12/13/2021
668,20912027,06/29/2021,New Admit New Sentence,Iowa Correctional Institution for Women,Prison,Female,White,HS Diploma or Equivelent,HiSET/GED,32,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,5,12/13/2021
669,18967142,06/15/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Tenth,17,714.2(1),C Felony,THEFT 1ST DEGREE,Property,Theft,6,12/13/2021
670,20823023,02/11/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,HiSET/GED,38,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,10,12/13/2021
671,20737295,10/20/2020,New Admit New Sentence,Iowa Correctional Institution for Women,Prison,Female,American Indian or Alaska Native,No HS Diploma,Ninth,34,708.4(2),D Felony,WILLFUL INJURY - CAUSING BODILY INJURY,Violent,Assault,14,12/13/2021
672,3159902,06/01/1994,New Admit New Sentence,Iowa State Penitentiary,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,47,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,330,12/13/2021
673,18598652,01/05/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,22,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary,11,12/13/2021
674,20278706,04/07/2015,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,HiSET/GED,31,124.401(1)(c)(8),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Other Subst Sched I, II, III",Drug,Trafficking,80,12/13/2021
675,20674970,01/27/2012,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,34,707.3,B Felony,"MURDER - 2ND DEGREE,  85%",Violent,Murder/Manslaughter,118,12/13/2021
676,3430439,12/27/2002,New Admit New Sentence,Anamosa State Penitentiary,Prison,Male,Hispanic,No HS Diploma,Eighth,41,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,227,12/13/2021
677,20052875,03/07/2008,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Female,White,HS Diploma or Equivelent,HiSET/GED,37,707.11,B Felony,"ATTEMPTED MURDER, 85%",Violent,Murder/Manslaughter,165,12/13/2021
